timestamp,cluster_name,pod_name,namespace,node_type,requested_cpu,used_cpu,requested_memory,used_memory,hourly_cpu_cost,hourly_memory_cost,total_cost
2024-12-01T01:00:00Z,us-west-staging-01,test-runner-5k9m2p-xz7wq,staging,n1-standard-2,1000,650,2048,1678,0.0336,0.0045,0.0381
2024-12-01T01:00:00Z,us-west-staging-01,preview-app-7n3q8r-bf5ct,staging,n1-standard-2,750,490,1536,1289,0.0252,0.0034,0.0286
2024-12-01T01:00:00Z,eu-central-prod-01,web-frontend-9k2m5p-zx8wq,production,n1-standard-4,2000,1910,4096,3901,0.0672,0.0090,0.0762
2024-12-01T01:00:00Z,eu-central-prod-01,api-service-2h7n4r-lc9vt,production,n1-standard-4,1000,925,2048,1967,0.0336,0.0045,0.0381
2024-12-01T01:00:00Z,eu-central-prod-01,database-replica-5m8p3q-wd6ks,production,n1-highmem-8,4000,3720,16384,15234,0.1344,0.0360,0.1704
2024-12-01T01:00:00Z,asia-southeast-prod-01,web-frontend-4p7s2v-mq5nx,production,n1-standard-4,2000,1780,4096,3723,0.0672,0.0090,0.0762
2024-12-01T01:00:00Z,asia-southeast-prod-01,api-service-8r3w6y-ph9kt,production,n1-standard-4,1000,870,2048,1843,0.0336,0.0045,0.0381
2024-12-01T02:00:00Z,us-east-prod-01,web-frontend-7d9f8b-xk2ml,production,n1-standard-4,2000,1780,4096,3712,0.0672,0.0090,0.0762
2024-12-01T02:00:00Z,us-east-prod-01,api-service-5c8d9f-pm4zx,production,n1-standard-4,1000,850,2048,1834,0.0336,0.0045,0.0381
2024-12-01T02:00:00Z,us-east-prod-01,database-primary-6f7a2c-ql8vn,production,n1-highmem-8,4000,3680,16384,14987,0.1344,0.0360,0.1704
2024-12-01T02:00:00Z,us-east-prod-01,cache-redis-4b6e9d-wr5kp,production,n1-standard-2,500,365,1024,867,0.0168,0.0023,0.0191
2024-12-01T02:00:00Z,us-east-prod-01,worker-queue-8a4c3f-ts9bm,production,n1-standard-4,1500,1290,3072,2634,0.0504,0.0068,0.0572
2024-12-01T02:00:00Z,us-east-prod-01,logging-agent-3d5e7g-np2xl,monitoring,n1-standard-2,250,198,512,456,0.0084,0.0011,0.0095
2024-12-01T02:00:00Z,us-east-prod-01,prometheus-server-9h2k5m-qw8cd,monitoring,n1-standard-4,2000,1650,8192,7345,0.0672,0.0180,0.0852
2024-12-01T02:00:00Z,us-east-prod-01,grafana-dashboard-2f8j6n-lv4hs,monitoring,n1-standard-2,500,421,1024,923,0.0168,0.0023,0.0191
2024-12-01T02:00:00Z,us-west-staging-01,test-runner-5k9m2p-xz7wq,staging,n1-standard-2,1000,580,2048,1545,0.0336,0.0045,0.0381
2024-12-01T02:00:00Z,us-west-staging-01,preview-app-7n3q8r-bf5ct,staging,n1-standard-2,750,445,1536,1198,0.0252,0.0034,0.0286
2024-12-01T02:00:00Z,eu-central-prod-01,web-frontend-9k2m5p-zx8wq,production,n1-standard-4,2000,1850,4096,3798,0.0672,0.0090,0.0762
2024-12-01T02:00:00Z,eu-central-prod-01,api-service-2h7n4r-lc9vt,production,n1-standard-4,1000,895,2048,1912,0.0336,0.0045,0.0381
2024-12-01T02:00:00Z,eu-central-prod-01,database-replica-5m8p3q-wd6ks,production,n1-highmem-8,4000,3650,16384,14956,0.1344,0.0360,0.1704
2024-12-01T02:00:00Z,asia-southeast-prod-01,web-frontend-4p7s2v-mq5nx,production,n1-standard-4,2000,1720,4096,3645,0.0672,0.0090,0.0762
2024-12-01T02:00:00Z,asia-southeast-prod-01,api-service-8r3w6y-ph9kt,production,n1-standard-4,1000,840,2048,1798,0.0336,0.0045,0.0381
2024-12-01T03:00:00Z,us-east-prod-01,web-frontend-7d9f8b-xk2ml,production,n1-standard-4,2000,1650,4096,3598,0.0672,0.0090,0.0762
2024-12-01T03:00:00Z,us-east-prod-01,api-service-5c8d9f-pm4zx,production,n1-standard-4,1000,780,2048,1756,0.0336,0.0045,0.0381
2024-12-01T03:00:00Z,us-east-prod-01,database-primary-6f7a2c-ql8vn,production,n1-highmem-8,4000,3590,16384,14567,0.1344,0.0360,0.1704
2024-12-01T03:00:00Z,us-east-prod-01,cache-redis-4b6e9d-wr5kp,production,n1-standard-2,500,340,1024,823,0.0168,0.0023,0.0191
2024-12-01T03:00:00Z,us-east-prod-01,worker-queue-8a4c3f-ts9bm,production,n1-standard-4,1500,1180,3072,2498,0.0504,0.0068,0.0572
2024-12-01T03:00:00Z,us-east-prod-01,logging-agent-3d5e7g-np2xl,monitoring,n1-standard-2,250,187,512,434,0.0084,0.0011,0.0095
2024-12-01T03:00:00Z,us-east-prod-01,prometheus-server-9h2k5m-qw8cd,monitoring,n1-standard-4,2000,1610,8192,7189,0.0672,0.0180,0.0852
2024-12-01T03:00:00Z,us-east-prod-01,grafana-dashboard-2f8j6n-lv4hs,monitoring,n1-standard-2,500,398,1024,887,0.0168,0.0023,0.0191
2024-12-01T03:00:00Z,us-east-ml-01,ml-training-job-8p5r2w-nc6df,ml-workloads,n1-highcpu-16,8000,7850,8192,7823,0.2688,0.0180,0.2868
2024-12-01T03:00:00Z,us-east-ml-01,ml-inference-api-4t9v3x-mb7kg,ml-workloads,n1-standard-8,3000,2780,6144,5876,0.1008,0.0135,0.1143
2024-12-01T03:00:00Z,eu-central-prod-01,web-frontend-9k2m5p-zx8wq,production,n1-standard-4,2000,1790,4096,3689,0.0672,0.0090,0.0762
2024-12-01T03:00:00Z,eu-central-prod-01,api-service-2h7n4r-lc9vt,production,n1-standard-4,1000,860,2048,1867,0.0336,0.0045,0.0381
2024-12-01T03:00:00Z,asia-southeast-prod-01,web-frontend-4p7s2v-mq5nx,production,n1-standard-4,2000,1680,4096,3589,0.0672,0.0090,0.0762
2024-12-01T04:00:00Z,us-east-prod-01,web-frontend-7d9f8b-xk2ml,production,n1-standard-4,2000,1720,4096,3654,0.0672,0.0090,0.0762
2024-12-01T04:00:00Z,us-east-prod-01,api-service-5c8d9f-pm4zx,production,n1-standard-4,1000,820,2048,1798,0.0336,0.0045,0.0381
2024-12-01T04:00:00Z,us-east-prod-01,database-primary-6f7a2c-ql8vn,production,n1-highmem-8,4000,3640,16384,14789,0.1344,0.0360,0.1704
2024-12-01T04:00:00Z,us-east-prod-01,cache-redis-4b6e9d-wr5kp,production,n1-standard-2,500,355,1024,845,0.0168,0.0023,0.0191
2024-12-01T04:00:00Z,us-east-prod-01,worker-queue-8a4c3f-ts9bm,production,n1-standard-4,1500,1240,3072,2567,0.0504,0.0068,0.0572
2024-12-01T04:00:00Z,us-east-prod-01,logging-agent-3d5e7g-np2xl,monitoring,n1-standard-2,250,192,512,445,0.0084,0.0011,0.0095
2024-12-01T04:00:00Z,us-east-prod-01,prometheus-server-9h2k5m-qw8cd,monitoring,n1-standard-4,2000,1640,8192,7267,0.0672,0.0180,0.0852
2024-12-01T04:00:00Z,us-east-prod-01,grafana-dashboard-2f8j6n-lv4hs,monitoring,n1-standard-2,500,412,1024,901,0.0168,0.0023,0.0191
2024-12-01T04:00:00Z,us-east-ml-01,ml-training-job-8p5r2w-nc6df,ml-workloads,n1-highcpu-16,8000,7920,8192,7945,0.2688,0.0180,0.2868
2024-12-01T04:00:00Z,us-east-ml-01,ml-inference-api-4t9v3x-mb7kg,ml-workloads,n1-standard-8,3000,2810,6144,5923,0.1008,0.0135,0.1143
2024-12-01T04:00:00Z,eu-central-prod-01,web-frontend-9k2m5p-zx8wq,production,n1-standard-4,2000,1820,4096,3734,0.0672,0.0090,0.0762
2024-12-01T04:00:00Z,eu-central-prod-01,api-service-2h7n4r-lc9vt,production,n1-standard-4,1000,885,2048,1889,0.0336,0.0045,0.0381
2024-12-01T04:00:00Z,asia-southeast-prod-01,web-frontend-4p7s2v-mq5nx,production,n1-standard-4,2000,1710,4096,3612,0.0672,0.0090,0.0762
2024-12-01T05:00:00Z,us-east-prod-01,web-frontend-7d9f8b-xk2ml,production,n1-standard-4,2000,1780,4096,3698,0.0672,0.0090,0.0762
2024-12-01T05:00:00Z,us-east-prod-01,api-service-5c8d9f-pm4zx,production,n1-standard-4,1000,865,2048,1823,0.0336,0.0045,0.0381
2024-12-01T05:00:00Z,us-east-prod-01,database-primary-6f7a2c-ql8vn,production,n1-highmem-8,4000,3700,16384,15012,0.1344,0.0360,0.1704
2024-12-01T05:00:00Z,us-east-prod-01,cache-redis-4b6e9d-wr5kp,production,n1-standard-2,500,385,1024,878,0.0168,0.0023,0.0191
2024-12-01T05:00:00Z,us-east-prod-01,worker-queue-8a4c3f-ts9bm,production,n1-standard-4,1500,1310,3072,2689,0.0504,0.0068,0.0572
2024-12-01T05:00:00Z,us-east-prod-01,batch-processor-6d8k4n-qr3vm,production,n1-standard-8,3000,2890,6144,5923,0.1008,0.0135,0.1143
2024-12-01T05:00:00Z,us-west-staging-01,test-runner-5k9m2p-xz7wq,staging,n1-standard-2,1000,820,2048,1765,0.0336,0.0045,0.0381
2024-12-01T05:00:00Z,us-west-staging-01,preview-app-7n3q8r-bf5ct,staging,n1-standard-2,750,560,1536,1367,0.0252,0.0034,0.0286
2024-12-01T05:00:00Z,eu-central-prod-01,web-frontend-9k2m5p-zx8wq,production,n1-standard-4,2000,1860,4096,3778,0.0672,0.0090,0.0762
2024-12-01T05:00:00Z,eu-central-prod-01,api-service-2h7n4r-lc9vt,production,n1-standard-4,1000,910,2048,1934,0.0336,0.0045,0.0381
2024-12-01T06:00:00Z,us-east-prod-01,web-frontend-7d9f8b-xk2ml,production,n1-standard-4,2000,1850,4096,3756,0.0672,0.0090,0.0762
2024-12-01T06:00:00Z,us-east-prod-01,api-service-5c8d9f-pm4zx,production,n1-standard-4,1000,920,2048,1878,0.0336,0.0045,0.0381
2024-12-01T06:00:00Z,us-east-prod-01,database-primary-6f7a2c-ql8vn,production,n1-highmem-8,4000,3780,16384,15298,0.1344,0.0360,0.1704
2024-12-01T06:00:00Z,us-east-prod-01,cache-redis-4b6e9d-wr5kp,production,n1-standard-2,500,420,1024,912,0.0168,0.0023,0.0191
2024-12-01T06:00:00Z,us-east-prod-01,worker-queue-8a4c3f-ts9bm,production,n1-standard-4,1500,1390,3072,2812,0.0504,0.0068,0.0572
2024-12-01T06:00:00Z,us-east-prod-01,batch-processor-6d8k4n-qr3vm,production,n1-standard-8,3000,2920,6144,5967,0.1008,0.0135,0.1143
2024-12-01T06:00:00Z,us-east-ml-01,ml-training-job-8p5r2w-nc6df,ml-workloads,n1-highcpu-16,8000,7890,8192,7889,0.2688,0.0180,0.2868
2024-12-01T06:00:00Z,asia-southeast-prod-01,web-frontend-4p7s2v-mq5nx,production,n1-standard-4,2000,1770,4096,3689,0.0672,0.0090,0.0762
2024-12-01T06:00:00Z,asia-southeast-prod-01,api-service-8r3w6y-ph9kt,production,n1-standard-4,1000,920,2048,1912,0.0336,0.0045,0.0381
2024-12-01T07:00:00Z,us-east-prod-01,web-frontend-7d9f8b-xk2ml,production,n1-standard-4,2000,1920,4096,3834,0.0672,0.0090,0.0762
2024-12-01T07:00:00Z,us-east-prod-01,api-service-5c8d9f-pm4zx,production,n1-standard-4,1000,970,2048,1945,0.0336,0.0045,0.0381
2024-12-01T07:00:00Z,us-east-prod-01,database-primary-6f7a2c-ql8vn,production,n1-highmem-8,4000,3850,16384,15567,0.1344,0.0360,0.1704
2024-12-01T07:00:00Z,us-east-prod-01,cache-redis-4b6e9d-wr5kp,production,n1-standard-2,500,460,1024,958,0.0168,0.0023,0.0191
2024-12-01T07:00:00Z,us-east-prod-01,worker-queue-8a4c3f-ts9bm,production,n1-standard-4,1500,1450,3072,2923,0.0504,0.0068,0.0572
2024-12-01T07:00:00Z,us-east-prod-01,batch-processor-6d8k4n-qr3vm,production,n1-standard-8,3000,2960,6144,6012,0.1008,0.0135,0.1143
2024-12-01T07:00:00Z,eu-central-prod-01,web-frontend-9k2m5p-zx8wq,production,n1-standard-4,2000,1930,4096,3912,0.0672,0.0090,0.0762
2024-12-01T07:00:00Z,eu-central-prod-01,api-service-2h7n4r-lc9vt,production,n1-standard-4,1000,980,2048,2001,0.0336,0.0045,0.0381
2024-12-01T07:00:00Z,us-west-staging-01,integration-test-7q4w9s-bn2xp,staging,n1-standard-4,1500,1340,3072,2856,0.0504,0.0068,0.0572
2024-12-01T08:00:00Z,us-east-prod-01,web-frontend-7d9f8b-xk2ml,production,n1-standard-4,2000,1980,4096,3921,0.0672,0.0090,0.0762
2024-12-01T08:00:00Z,us-east-prod-01,api-service-5c8d9f-pm4zx,production,n1-standard-4,1000,1020,2048,2012,0.0336,0.0045,0.0381
2024-12-01T08:00:00Z,us-east-prod-01,database-primary-6f7a2c-ql8vn,production,n1-highmem-8,4000,3920,16384,15834,0.1344,0.0360,0.1704
2024-12-01T08:00:00Z,us-east-prod-01,cache-redis-4b6e9d-wr5kp,production,n1-standard-2,500,490,1024,989,0.0168,0.0023,0.0191
2024-12-01T08:00:00Z,us-east-prod-01,worker-queue-8a4c3f-ts9bm,production,n1-standard-4,1500,1480,3072,2989,0.0504,0.0068,0.0572
2024-12-01T08:00:00Z,us-east-prod-01,batch-processor-6d8k4n-qr3vm,production,n1-standard-8,3000,2990,6144,6078,0.1008,0.0135,0.1143
2024-12-01T08:00:00Z,us-east-prod-01,notification-service-3f9k2m-vs7hp,production,n1-standard-2,750,680,1536,1423,0.0252,0.0034,0.0286
2024-12-01T08:00:00Z,asia-southeast-prod-01,web-frontend-4p7s2v-mq5nx,production,n1-standard-4,2000,1890,4096,3823,0.0672,0.0090,0.0762
2024-12-01T08:00:00Z,asia-southeast-prod-01,api-service-8r3w6y-ph9kt,production,n1-standard-4,1000,980,2048,1989,0.0336,0.0045,0.0381
2024-12-01T08:00:00Z,eu-central-prod-01,web-frontend-9k2m5p-zx8wq,production,n1-standard-4,2000,1970,4096,3956,0.0672,0.0090,0.0762
2024-12-01T09:00:00Z,us-east-prod-01,web-frontend-7d9f8b-xk2ml,production,n1-standard-4,2000,1990,4096,3967,0.0672,0.0090,0.0762
2024-12-01T09:00:00Z,us-east-prod-01,api-service-5c8d9f-pm4zx,production,n1-standard-4,1000,1050,2048,2034,0.0336,0.0045,0.0381
